cid,mw,polararea,xlogp,heavycnt,hbonddonor,hbondacc,rotbonds,binary_fingerprints
16129616,3431.9,1560.0,-16.6,239,52,55,99,[1. 1. 1. ... 1. 1. 1.]
16129629,1620.7,702.0,-5.1,115,22,28,35,[1. 1. 1. ... 1. 1. 1.]
16129665,3056.4,1420.0,-13.4,215,52,48,109,[0. 1. 0. ... 0. 1. 1.]
16129672,5808.0,2450.0,-13.1,405,78,89,179,[1. 1. 1. ... 1. 1. 1.]
16129674,2933.4,1180.0,-7.9,208,42,41,96,[1. 1. 0. ... 1. 1. 1.]
16129682,4118.0,1800.0,-18.7,289,60,62,146,[1. 1. 1. ... 1. 1. 1.]
16129688,1620.7,702.0,-5.1,115,22,28,35,[1. 1. 1. ... 1. 1. 1.]
16129690,2639.2,1310.0,-14.0,177,42,46,40,[0. 1. 0. ... 0. 1. 1.]
16129703,6963.0,3240.0,-40.1,483,99,121,165,[1. 1. 1. ... 1. 1. 1.]
16129704,2180.3,902.0,-7.1,155,28,35,67,[0. 1. 1. ... 0. 1. 1.]
16130199,4492.0,1900.0,-14.7,319,63,67,151,[1. 1. 1. ... 1. 1. 1.]
16130295,6511.0,2820.0,-25.4,454,93,97,111,[0. 1. 1. ... 0. 1. 1.]
16130965,1690.4,526.0,0.0,120,18,20,48,[1. 1. 0. ... 0. 1. 1.]
16131215,1416.1,425.0,3.7,101,13,16,38,[1. 1. 1. ... 0. 1. 1.]
16131310,3008.3,1280.0,-10.8,213,41,44,95,[1. 1. 1. ... 0. 1. 1.]
16131923,1879.7,662.0,0.5,132,24,34,20,[1. 1. 1. ... 1. 1. 1.]
16132265,4541.0,1860.0,-19.7,322,63,68,148,[1. 1. 1. ... 1. 1. 1.]
16132283,3482.7,1560.0,-16.9,246,55,55,115,[1. 1. 1. ... 1. 1. 1.]
16132344,4670.0,2010.0,-18.6,328,66,71,161,[1. 1. 1. ... 1. 1. 1.]
16132418,5832.0,2350.0,0.0,406,86,91,188,[1. 1. 1. ... 1. 1. 1.]
16132438,5814.0,2310.0,0.0,405,84,89,185,[1. 1. 1. ... 1. 1. 1.]
16132441,6985.0,3110.0,-43.2,484,106,122,234,[1. 1. 1. ... 1. 1. 1.]
16132446,3951.0,1690.0,-16.7,277,58,59,122,[1. 1. 1. ... 1. 1. 1.]
16133802,2933.4,1180.0,-7.9,208,42,41,96,[1. 1. 0. ... 1. 1. 1.]
16134956,3751.0,1510.0,-3.4,266,54,55,132,[1. 1. 0. ... 1. 1. 1.]
16136245,1632.3,513.0,3.5,117,17,18,41,[1. 1. 1. ... 0. 1. 1.]
16136912,1793.1,561.0,1.5,125,20,29,19,[1. 1. 1. ... 1. 1. 1.]
16137271,5917.0,2400.0,-3.5,413,76,87,189,[1. 1. 1. ... 1. 1. 1.]
16139342,4858.0,2090.0,-30.8,342,70,77,170,[1. 1. 1. ... 1. 1. 1.]
16157882,4187.0,1780.0,-21.0,295,58,66,135,[1. 1. 1. ... 1. 1. 1.]
16213095,580.6,267.0,0.0,39,10,17,17,[1. 0. 0. ... 0. 0. 0.]
16220172,392.5,78.4,5.6,29,3,4,4,[1. 1. 0. ... 1. 0. 1.]
17754356,1477.9,222.0,0.0,105,0,22,18,[1. 0. 1. ... 0. 0. 1.]
19371515,307.4,38.1,1.7,23,0,3,1,[1. 1. 0. ... 0. 1. 1.]
22451303,390.35,187.0,-1.5,28,5,10,4,[1. 0. 1. ... 1. 1. 1.]
23652731,404.5,71.0,3.7,29,2,5,11,[0. 1. 0. ... 0. 1. 1.]
23668479,482.5,153.0,0.0,33,2,9,6,[1. 1. 1. ... 1. 0. 1.]
23689036,185.894,74.3,0.0,6,0,4,0,[0. 0. 0. ... 0. 0. 0.]
23690938,353.3,111.0,0.0,24,1,7,2,[1. 1. 1. ... 0. 0. 1.]
24776445,421.3,84.5,3.8,27,1,4,4,[1. 1. 0. ... 0. 1. 1.]
24812758,444.5,118.0,3.2,31,4,7,5,[1. 1. 0. ... 0. 1. 0.]
24821094,440.5,99.2,3.6,33,1,6,5,[1. 1. 1. ... 1. 0. 1.]
24822371,359.4,52.6,3.5,26,1,6,12,[1. 0. 0. ... 0. 0. 1.]
24826799,532.6,65.8,4.1,39,1,8,6,[1. 1. 0. ... 1. 1. 1.]
24838347,196.58,87.0,0.0,12,4,5,1,[0. 0. 1. ... 0. 0. 0.]
24846132,736.7,315.0,-7.7,50,11,21,15,[1. 0. 0. ... 0. 0. 0.]
24847741,414.5,82.2,1.4,30,0,6,2,[1. 0. 1. ... 0. 0. 0.]
24847863,810.4,158.0,3.8,56,2,11,6,[1. 0. 1. ... 0. 0. 1.]
24847874,1030.3,242.0,5.6,73,4,16,11,[1. 0. 1. ... 0. 0. 1.]
24873435,749.9,194.0,4.8,52,2,10,8,[1. 1. 1. ... 0. 1. 1.]
24965990,450.9,80.3,4.9,32,0,6,3,[1. 1. 1. ... 0. 1. 1.]
25074470,1311.4,490.0,-0.3,95,17,15,33,[1. 1. 0. ... 1. 1. 1.]
25074886,1545.1,536.0,0.0,109,17,21,38,[1. 1. 0. ... 0. 1. 1.]
25077179,1311.4,490.0,-0.3,95,17,15,33,[1. 1. 0. ... 1. 1. 1.]
25077594,1431.0,498.0,1.9,102,16,16,38,[1. 1. 0. ... 0. 1. 1.]
25077649,1322.5,475.0,0.8,96,16,15,33,[1. 1. 0. ... 1. 1. 1.]
25077993,1323.5,449.0,0.7,96,15,15,34,[1. 1. 0. ... 1. 1. 1.]
25081014,3464.0,1610.0,-17.2,239,55,55,91,[0. 1. 1. ... 0. 1. 1.]
25102847,501.5,98.8,5.4,37,2,7,8,[1. 0. 0. ... 0. 0. 1.]
25126797,422.4,158.0,0.0,31,3,8,6,[1. 0. 1. ... 1. 0. 0.]
25151504,776.0,195.0,5.7,54,3,10,20,[0. 1. 1. ... 0. 1. 1.]
25244225,591.5,376.0,-5.6,36,5,21,6,[1. 0. 1. ... 0. 1. 1.]
26275995,456.5,172.0,0.1,33,4,8,3,[1. 1. 1. ... 0. 0. 1.]
27885548,443.4,189.0,-1.2,32,5,8,2,[1. 1. 1. ... 0. 1. 1.]
42611257,489.9,100.0,5.0,33,2,7,7,[1. 1. 1. ... 1. 1. 1.]
44146714,6063.0,2590.0,-14.1,423,85,92,191,[1. 1. 1. ... 1. 1. 1.]
44201342,5136.0,2360.0,-23.3,361,83,76,187,[0. 1. 1. ... 0. 1. 1.]
44201343,7060.0,2970.0,-28.6,492,106,110,237,[1. 1. 1. ... 1. 1. 1.]
44462760,519.6,148.0,4.8,35,2,11,6,[1. 1. 1. ... 0. 1. 1.]
44564107,7595.0,3080.0,0.0,476,26,157,156,[1. 1. 1. ... 1. 1. 1.]
44567678,1816.7,573.0,3.8,128,21,30,22,[1. 1. 1. ... 1. 1. 1.]
45267081,1755.6,598.0,-2.1,121,23,31,30,[1. 1. 1. ... 1. 1. 1.]
45375808,529.5,153.0,1.0,36,3,11,11,[1. 0. 1. ... 1. 1. 1.]
46216142,441.4,102.0,0.0,31,1,8,3,[1. 1. 1. ... 1. 1. 1.]
49800003,1301.6,574.0,0.0,90,20,22,29,[0. 1. 1. ... 0. 1. 1.]
49800046,398.3,59.1,0.0,24,1,5,5,[1. 1. 1. ... 0. 0. 1.]
53320414,729.9,146.0,1.1,52,2,12,4,[1. 1. 0. ... 0. 0. 1.]
53477714,637.5,358.0,-5.9,39,5,22,12,[1. 0. 0. ... 0. 1. 1.]
